# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.472004294395446777e-01 2.105383276939392090e-01 1.004002571105957031e+00
1.000000000000000000e+03 8.499182149535045028e-05 1.092484963010065258e-04 2.287057042121887207e-02
2.000000000000000000e+03 3.056765854125842452e-05 5.870500172022730112e-05 1.676512509584426880e-02
3.000000000000000000e+03 5.992699243506649509e-06 3.509129237500019372e-05 1.296190917491912842e-02
4.000000000000000000e+03 6.232203304534777999e-06 3.255457704653963447e-05 1.248462032526731491e-02
5.000000000000000000e+03 1.992520083149429411e-06 2.488405516487546265e-05 1.091515272855758667e-02
6.000000000000000000e+03 4.024990403195261024e-07 2.045721703325398266e-05 9.896748699247837067e-03
7.000000000000000000e+03 3.478503231235663407e-06 2.217547444161027670e-05 1.030399836599826813e-02
8.000000000000000000e+03 3.641277430688205641e-07 1.914043059514369816e-05 9.572935290634632111e-03
9.000000000000000000e+03 6.882081606818246655e-07 1.894674096547532827e-05 9.524377062916755676e-03
1.000000000000000000e+04 4.726052793557755649e-06 2.559498352638911456e-05 1.106997765600681305e-02
